====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   m   m   m   m   m   m   m   m   d   r   s   m   m   l   l   w   a   a   a   a   a   a   a   a   d 
 in 1e-09 sec | l   s   a   a   a   a   a   a   a   a   r   e   t   a   a   u   u   r   d   d   d   d   d   d   d   d   a 
              | k   t   s   s   s   s   s   s   s   s   a   a   a   s   s   t   t   i   d   d   d   d   d   d   d   d   t 
              |         k   k   k   k   k   k   k   k   w   d   r   k   k   _   _   t   r   r   r   r   r   r   r   r   a 
              |         _   _   _   _   _   _   _   _   _   y   t   _   _   s   r   e   _   _   _   _   _   _   _   _     
              |         7   7   7   7   7   7   7   7   e           s   s   t   e       7   7   7   7   7   7   7   7     
              |         _   _   _   _   _   _   _   _   r           e   e   a   a       _   _   _   _   _   _   _   _     
              |         0   0   0   0   0   0   0   0   a           l   l   r   d       0   0   0   0   0   0   0   0     
              |         _   _   _   _   _   _   _   _   s           e   e   t   y       _   _   _   _   _   _   _   _     
              |         7   6   5   4   3   2   1   0   e           c   c               7   6   5   4   3   2   1   0     
              |                                                     t   t                                                 
              |                                                     _   _                                                 
              |                                                     1   1                                                 
              |                                                     _   _                                                 
              |                                                     0   0                                                 
              |                                                     _   _                                                 
              |                                                     1   0                                                 
====================================================================================================================================
       4400.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   0   1   0   1   1   1   1   1   0   1   1   1   1   1
       4401.3 | 1   0   1   1   1   0   1   1   1   1   1   0   1   0   x   0   1   1   1   1   1   0   1   1   1   1   1
       4401.5 | 1   0   1   1   1   0   1   1   1   1   1   0   1   x   x   0   1   1   1   1   1   0   1   1   1   1   1
       4402.1 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   0   1   1   1   1   1   1   0   1   1   1   1   1
       4402.8 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   0   1   1   0   1   1   1   0   1   1   1   1   1
       4450.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   0   1   1   0   1   1   1   0   1   1   1   1   1
       4500.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   0   1   1   0   1   1   1   0   1   1   1   1   1
       4501.4 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   0   0   1   0   1   1   1   0   1   1   1   1   1
       4503.8 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   0   0   1   1   1   1   1   0   1   1   1   1   1
       4550.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   0   0   1   1   1   1   1   0   1   1   1   1   1
       4600.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   0   0   1   1   1   1   1   0   1   1   1   1   1
       4601.4 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   x   0   1   1   1   1   1   0   1   1   1   1   1
       4602.1 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   1   1   1   1   1   0   1   1   1   1   1
       4602.8 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   1   0   1   1   1   0   1   1   1   1   1
       4650.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   1   0   1   1   1   0   1   1   1   1   1
       4700.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   1   0   1   1   1   0   1   1   1   1   1
       4701.4 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   0   1   0   1   1   1   0   1   1   1   1   1
       4703.8 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   1
       4750.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   1
       4800.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   1
       4801.1 | 1   0   1   1   1   0   1   1   1   1   1   0   1   x   1   0   1   1   1   1   1   0   1   1   1   1   1
       4801.3 | 1   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   1   1   1   1   1   0   1   1   1   1   1
       4802.6 | 1   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   1   0   1   1   1   0   1   1   1   1   1
       4850.0 | 0   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   1   0   1   1   1   0   1   1   1   1   1
       4900.0 | 1   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   1   0   1   1   1   0   1   1   1   1   1
       4950.0 | 0   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5000.0 | 1   0   1   0   1   1   0   0   0   1   1   1   1   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5000.1 | 1   0   1   0   1   1   0   0   0   1   1   1   1   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5050.0 | 0   0   1   0   1   1   0   0   0   1   1   1   1   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5100.0 | 1   0   1   0   1   1   0   0   0   1   1   1   1   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5150.0 | 0   0   1   0   1   1   0   0   0   1   1   1   1   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5200.0 | 1   0   1   0   1   1   0   0   0   1   1   1   1   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5250.0 | 0   0   1   0   1   1   0   0   0   1   1   1   1   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5300.0 | 1   0   1   0   1   1   0   0   0   1   1   1   1   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5350.0 | 0   0   1   0   1   1   0   0   0   1   1   1   1   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5400.0 | 1   0   1   0   1   1   0   0   0   1   1   1   1   x   x   0   0   0   1   x   1   x   x   x   x   1   1
