================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   i   i   i   i   i   i   o   o   o   o   o   o   r 
 in 1e-09 sec | l   s   n   n   n   n   n   n   u   u   u   u   u   u   a 
              | k   t   v   v   v   v   v   v   t   t   t   t   t   t   n 
              |         _   _   _   _   _   _   p   p   p   p   p   p   d 
              |         i   i   i   i   i   i   u   u   u   u   u   u   o 
              |         n   n   n   n   n   n   t   t   t   t   t   t   m 
              |         p   p   p   p   p   p   _   _   _   _   _   _   _ 
              |         u   u   u   u   u   u   5   5   5   5   5   5   s 
              |         t   t   t   t   t   t   _   _   _   _   _   _   e 
              |         s   s   s   s   s   s   0   0   0   0   0   0   e 
              |         _   _   _   _   _   _   _   _   _   _   _   _   d 
              |         5   5   5   5   5   5   5   4   3   2   1   0     
              |         _   _   _   _   _   _                             
              |         0   0   0   0   0   0                             
              |         _   _   _   _   _   _                             
              |         5   4   3   2   1   0                             
================================================================================
       5060.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5080.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5100.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5120.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5140.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5160.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5180.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5200.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5220.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5240.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5260.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5280.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5300.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5320.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5340.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5360.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5380.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5400.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5420.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5440.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5460.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5480.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5500.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5520.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5540.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5560.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5580.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5600.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5620.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5640.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5660.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5680.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5700.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5720.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5740.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
