================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   s   r   s   r   r   r   r   r   r   r   r   r   r   r 
 in 1e-09 sec | l   s   t   e   c   a   a   a   a   a   a   a   a   a   a   a 
              | k   t   a   a   o   m   m   m   m   m   m   m   m   m   m   m 
              |         r   d   r   _   _   _   _   _   _   _   _   _   _   _ 
              |         t   y   e   a   a   a   a   a   a   a   a   w   d   d 
              |         _   _   _   d   d   d   d   d   d   d   d   e   a   a 
              |         i   o   o   d   d   d   d   d   d   d   d       t   t 
              |         n   u   u   r   r   r   r   r   r   r   r       a   a 
              |             t   t   _   _   _   _   _   _   _   _       _   _ 
              |                     o   o   o   o   o   o   o   o       i   o 
              |                     u   u   u   u   u   u   u   u       n   u 
              |                     t   t   t   t   t   t   t   t           t 
              |                     _   _   _   _   _   _   _   _             
       8694.0 | 1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
       8774.0 | 0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
       8856.0 | 1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       8938.0 | 0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       9020.0 | 1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       9021.6 | 1   0   0   1   0   0   0   0   1   0   0   0   0   0   1   0
       9022.5 | 1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       9102.0 | 0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       9184.0 | 1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       9266.0 | 0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       9348.0 | 1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       9430.0 | 0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       9512.0 | 1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       9514.2 | 1   0   0   0   0   0   0   0   1   0   0   0   1   0   1   0
       9594.0 | 0   0   0   0   0   0   0   0   1   0   0   0   1   0   1   0
       9676.0 | 1   0   0   0   0   0   0   0   1   0   0   0   1   0   1   0
       9677.6 | 1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       9678.1 | 1   0   0   0   0   0   0   0   1   0   0   1   0   0   1   0
       9758.0 | 0   0   0   0   0   0   0   0   1   0   0   1   0   0   1   0
       9840.0 | 1   0   0   0   0   0   0   0   1   0   0   1   0   0   1   0
       9842.2 | 1   0   0   0   0   0   0   0   1   0   0   1   1   0   1   0
       9922.0 | 0   0   0   0   0   0   0   0   1   0   0   1   1   0   1   0
      10004.0 | 1   0   0   0   0   0   0   0   1   0   0   1   1   0   1   0
      10005.5 | 1   0   0   0   0   0   0   0   1   0   0   0   1   0   1   0
      10005.6 | 1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0
      10006.3 | 1   0   0   0   0   0   0   0   1   0   1   0   0   0   1   0
      10086.0 | 0   0   0   0   0   0   0   0   1   0   1   0   0   0   1   0
      10168.0 | 1   0   0   0   0   0   0   0   1   0   1   0   0   0   1   0
      10170.2 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   1   0
      10250.0 | 0   0   0   0   0   0   0   0   1   0   1   0   1   0   1   0
      10332.0 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   1   0
      10333.6 | 1   0   0   0   0   0   0   0   1   0   1   0   0   0   1   0
      10334.1 | 1   0   0   0   0   0   0   0   1   0   1   1   0   0   1   0
      10414.0 | 0   0   0   0   0   0   0   0   1   0   1   1   0   0   1   0
      10496.0 | 1   0   0   0   0   0   0   0   1   0   1   1   0   0   1   0
      10498.2 | 1   0   0   0   0   0   0   0   1   0   1   1   1   0   1   0
      10578.0 | 0   0   0   0   0   0   0   0   1   0   1   1   1   0   1   0
      10660.0 | 1   0   0   0   0   0   0   0   1   0   1   1   1   0   1   0
      10661.5 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   1   0
      10661.6 | 1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0
      10662.3 | 1   0   0   0   0   0   0   0   1   1   0   0   0   0   1   0
      10742.0 | 0   0   0   0   0   0   0   0   1   1   0   0   0   0   1   0
      10824.0 | 1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0
      10906.0 | 0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0
      10988.0 | 1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0
      11070.0 | 0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0
      11152.0 | 1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0
      11159.3 | 1   0   0   0   0   0   1   1   1   1   1   1   1   0   0   0
      11234.0 | 0   0   0   0   0   0   1   1   1   1   1   1   1   0   0   0
      11316.0 | 1   0   0   0   0   0   1   1   1   1   1   1   1   0   1   0
      11317.4 | 1   0   0   0   0   0   1   1   1   1   0   1   0   0   1   0
      11317.6 | 1   0   0   0   0   0   0   0   1   1   0   0   0   0   1   0
      11398.0 | 0   0   0   0   0   0   0   0   1   1   0   0   0   0   1   0
      11480.0 | 1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0
      11481.8 | 1   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0
      11481.9 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0
      11482.2 | 1   0   0   0   0   0   0   0   1   0   1   1   1   0   0   0
      11484.1 | 1   0   0   0   0   0   0   0   0   0   1   1   1   0   0   0
      11485.2 | 1   0   0   0   0   0   0   0   0   1   1   1   1   0   0   0
      11562.0 | 0   0   0   0   0   0   0   0   0   1   1   1   1   0   0   0
      11644.0 | 1   0   0   0   0   0   0   0   0   1   1   1   1   0   0   0
      11646.9 | 1   0   0   0   0   0   0   0   0   1   1   1   1   1   0   0
      11647.9 | 1   0   0   0   0   0   0   0   0   0   1   1   1   1   0   0
      11648.0 | 1   0   0   0   0   0   0   0   1   0   1   1   1   1   0   0
      11726.0 | 0   0   0   0   0   0   0   0   1   0   1   1   1   1   0   0
      11808.0 | 1   0   0   0   0   0   0   0   1   0   1   1   1   1   1   0
      11808.4 | 1   0   0   0   0   0   0   0   1   0   1   1   1   1   1   1
      11809.4 | 1   0   0   0   0   0   0   0   1   0   1   1   0   1   1   1
      11809.9 | 1   0   0   0   0   0   0   0   1   0   1   1   0   1   1   0
      11810.0 | 1   0   0   0   0   0   0   0   1   0   1   1   0   0   1   0
      11890.0 | 0   0   0   0   0   0   0   0   1   0   1   1   0   0   1   0
      11972.0 | 1   0   0   0   0   0   0   0   1   0   1   1   0   0   1   0
      11976.2 | 1   0   0   0   0   0   0   0   0   0   1   1   0   0   1   0
      11977.0 | 1   0   0   0   0   0   0   0   0   1   1   1   0   0   1   0
      12054.0 | 0   0   0   0   0   0   0   0   0   1   1   1   0   0   1   0
      12136.0 | 1   0   0   0   0   0   0   0   0   1   1   1   0   0   1   0
      12138.9 | 1   0   0   0   0   0   0   0   0   1   1   1   0   1   1   0
      12139.2 | 1   0   0   0   0   0   0   0   0   1   1   1   0   1   1   1
      12139.9 | 1   0   0   0   0   0   0   0   0   0   1   1   0   1   1   1
      12140.0 | 1   0   0   0   0   0   0   0   1   0   1   1   0   1   1   1
      12218.0 | 0   0   0   0   0   0   0   0   1   0   1   1   0   1   1   1
      12300.0 | 1   0   0   0   0   0   0   0   1   0   1   1   0   1   1   1
      12301.6 | 1   0   0   0   0   0   0   0   1   0   1   0   0   1   1   1
      12301.9 | 1   0   0   0   0   0   0   0   1   0   1   0   1   1   1   0
      12302.0 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   1   0
      12382.0 | 0   0   0   0   0   0   0   0   1   0   1   0   1   0   1   0
      12464.0 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   1   0
      12468.2 | 1   0   0   0   0   0   0   0   0   0   1   0   1   0   1   0
      12469.0 | 1   0   0   0   0   0   0   0   0   1   1   0   1   0   1   0
      12546.0 | 0   0   0   0   0   0   0   0   0   1   1   0   1   0   1   0
