================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | r   c   d   d   d   d   d   d   v   v   v   v   v   v 
 in 1e-09 sec | s   l   b   b   b   b   b   b   g   g   g   g   g   g 
              | t   k   g   g   g   g   g   g   a   a   a   a   a   a 
              |         _   _   _   _   _   _   _   _   _   _   _   _ 
              |         i   i   i   i   i   i   h   v   c   r   g   b 
              |         n   n   n   n   n   n   s   s   l             
              |         p   p   p   p   p   p   y   y   k             
              |         u   u   u   u   u   u   n   n                 
              |         t   t   t   t   t   t   c   c                 
              |         s   s   s   s   s   s                         
              |         _   _   _   _   _   _                         
              |         5   5   5   5   5   5                         
              |         _   _   _   _   _   _                         
              |         0   0   0   0   0   0                         
              |         _   _   _   _   _   _                         
              |         5   4   3   2   1   0                         
================================================================================
       9680.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       9760.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       9840.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       9920.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      10000.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      10080.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      10160.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      10240.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      10320.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      10400.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      10480.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      10560.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      10640.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      10720.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      10800.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      10880.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      10960.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      11040.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      11120.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      11200.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      11280.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      11360.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      11440.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      11520.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      11600.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      11680.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      11760.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      11840.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      11920.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      12000.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
