====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   d   d   d   w   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a 
 in 1e-09 sec | l   s   i   o   o   e   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d 
              | k   t       1   2       d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d 
              |                         r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r 
       5280.0 | 1   0   0   1   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       5280.8 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       5360.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       5400.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
       5440.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
       5520.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
       5560.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       5600.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       5680.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       5720.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
       5760.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
       5760.8 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
       5840.0 | 0   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
       5880.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       5920.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6000.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6040.0 | 0   0   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6080.0 | 1   0   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6160.0 | 0   0   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6200.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6240.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6240.9 | 1   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6320.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6360.0 | 0   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6400.0 | 1   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6400.8 | 1   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6480.0 | 0   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6520.0 | 0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6560.0 | 1   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6640.0 | 0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6680.0 | 0   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6720.0 | 1   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6720.9 | 1   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6800.0 | 0   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6840.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6880.0 | 1   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       6960.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       7000.0 | 0   1   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       7000.7 | 0   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       7040.0 | 1   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       7120.0 | 0   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       7200.0 | 1   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       7280.0 | 0   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       7300.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
       7360.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
       7440.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
       7460.0 | 0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
       7520.0 | 1   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
       7600.0 | 0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
       7620.0 | 0   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
       7680.0 | 1   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
       7760.0 | 0   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
       7780.0 | 0   0   1   0   0   1   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
       7840.0 | 1   0   1   0   0   1   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
       7920.0 | 0   0   1   0   0   1   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
       7940.0 | 0   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8000.0 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8000.9 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8080.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8100.0 | 0   0   1   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8160.0 | 1   0   1   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8240.0 | 0   0   1   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8260.0 | 0   0   0   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8320.0 | 1   0   0   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8320.9 | 1   0   0   1   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8400.0 | 0   0   0   1   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8420.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
       8480.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
       8560.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
       8580.0 | 0   0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
       8640.0 | 1   0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
       8720.0 | 0   0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
       8740.0 | 0   0   0   1   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8800.0 | 1   0   0   1   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8800.8 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8880.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       8900.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
       8960.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
       9040.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
       9060.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       9120.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       9200.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
       9220.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
       9280.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
       9280.8 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
       9360.0 | 0   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
       9380.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       9440.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       9520.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       9540.0 | 0   0   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       9600.0 | 1   0   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       9680.0 | 0   0   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       9700.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       9760.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       9760.9 | 1   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       9840.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       9860.0 | 0   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       9920.0 | 1   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
       9920.8 | 1   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10000.0 | 0   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10020.0 | 0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10080.0 | 1   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10160.0 | 0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10180.0 | 0   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      10240.0 | 1   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
