================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   b   n   o   o   o 
 in 1e-09 sec | l   s   u   e   u   u   u 
              | k   t   t   w   t   t   t 
              |         t   _   p   p   p 
              |         o   n   u   u   u 
              |         n   u   t   t   t 
              |         _   m   _   _   _ 
              |         s   b   2   2   2 
              |         e   e   _   _   _ 
              |         e   r   0   0   0 
              |         d       _   _   _ 
              |                 2   1   0 
================================================================================
      12957.1 | 1   0   0   0   0   0   1
      13038.0 | 0   0   0   0   0   0   1
      13120.0 | 1   0   0   0   0   0   1
      13120.8 | 1   0   0   0   0   0   0
      13202.0 | 0   0   0   0   0   0   0
      13284.0 | 1   0   0   0   0   0   0
      13285.1 | 1   0   0   0   1   0   0
      13366.0 | 0   0   0   0   1   0   0
      13448.0 | 1   0   0   0   1   0   0
      13449.4 | 1   0   0   0   1   1   0
      13530.0 | 0   0   0   0   1   1   0
      13612.0 | 1   0   0   0   1   1   0
      13612.8 | 1   0   0   0   0   1   0
      13613.1 | 1   0   0   0   0   1   1
      13694.0 | 0   0   0   0   0   1   1
      13776.0 | 1   0   0   0   0   1   1
      13777.0 | 1   0   0   0   0   0   1
      13777.1 | 1   0   0   0   1   0   1
      13858.0 | 0   0   0   0   1   0   1
      13940.0 | 1   0   0   0   1   0   1
      13940.8 | 1   0   0   0   0   0   0
      13941.4 | 1   0   0   0   0   1   0
      14022.0 | 0   0   0   0   0   1   0
      14104.0 | 1   0   0   0   0   1   0
      14105.0 | 1   0   0   0   0   0   0
      14105.1 | 1   0   0   0   0   0   1
      14186.0 | 0   0   0   0   0   0   1
      14268.0 | 1   0   0   0   0   0   1
      14268.8 | 1   0   0   0   0   0   0
      14350.0 | 0   0   0   0   0   0   0
      14432.0 | 1   0   0   0   0   0   0
      14433.1 | 1   0   0   0   1   0   0
      14514.0 | 0   0   0   0   1   0   0
      14596.0 | 1   0   0   0   1   0   0
      14597.4 | 1   0   0   0   1   1   0
      14678.0 | 0   0   0   0   1   1   0
      14760.0 | 1   0   0   0   1   1   0
      14760.8 | 1   0   0   0   0   1   0
      14761.1 | 1   0   0   0   0   1   1
      14842.0 | 0   0   0   0   0   1   1
      14924.0 | 1   0   0   0   0   1   1
      14925.0 | 1   0   0   0   0   0   1
      14925.1 | 1   0   0   0   1   0   1
      15006.0 | 0   0   0   0   1   0   1
      15088.0 | 1   0   0   0   1   0   1
      15088.8 | 1   0   0   0   0   0   0
      15089.4 | 1   0   0   0   0   1   0
      15170.0 | 0   0   0   0   0   1   0
      15252.0 | 1   0   0   0   0   1   0
      15253.0 | 1   0   0   0   0   0   0
      15253.1 | 1   0   0   0   0   0   1
      15334.0 | 0   0   0   0   0   0   1
      15416.0 | 1   0   0   0   0   0   1
      15416.8 | 1   0   0   0   0   0   0
      15498.0 | 0   0   0   0   0   0   0
      15580.0 | 1   0   0   0   0   0   0
      15581.1 | 1   0   0   0   1   0   0
      15662.0 | 0   0   0   0   1   0   0
      15744.0 | 1   0   0   0   1   0   0
      15745.4 | 1   0   0   0   1   1   0
      15826.0 | 0   0   0   0   1   1   0
      15908.0 | 1   0   0   0   1   1   0
      15908.8 | 1   0   0   0   0   1   0
      15909.1 | 1   0   0   0   0   1   1
      15990.0 | 0   0   0   0   0   1   1
      16072.0 | 1   0   0   0   0   1   1
      16073.0 | 1   0   0   0   0   0   1
      16073.1 | 1   0   0   0   1   0   1
      16154.0 | 0   0   0   0   1   0   1
      16236.0 | 1   0   0   0   1   0   1
      16236.8 | 1   0   0   0   0   0   0
      16237.4 | 1   0   0   0   0   1   0
      16318.0 | 0   0   0   0   0   1   0
      16400.0 | 1   0   0   0   0   1   0
      16401.0 | 1   0   0   0   0   0   0
      16401.1 | 1   0   0   0   0   0   1
      16482.0 | 0   0   0   0   0   0   1
      16564.0 | 1   0   0   0   0   0   1
      16564.8 | 1   0   0   0   0   0   0
      16646.0 | 0   0   0   0   0   0   0
      16728.0 | 1   0   0   0   0   0   0
      16729.1 | 1   0   0   0   1   0   0
      16810.0 | 0   0   0   0   1   0   0
      16892.0 | 1   0   0   0   1   0   0
      16893.4 | 1   0   0   0   1   1   0
      16974.0 | 0   0   0   0   1   1   0
      17056.0 | 1   0   0   0   1   1   0
      17056.8 | 1   0   0   0   0   1   0
      17057.1 | 1   0   0   0   0   1   1
      17138.0 | 0   0   0   0   0   1   1
      17220.0 | 1   0   0   0   0   1   1
      17221.0 | 1   0   0   0   0   0   1
      17221.1 | 1   0   0   0   1   0   1
      17302.0 | 0   0   0   0   1   0   1
      17384.0 | 1   0   0   0   1   0   1
      17384.8 | 1   0   0   0   0   0   0
      17385.4 | 1   0   0   0   0   1   0
      17466.0 | 0   0   0   0   0   1   0
      17548.0 | 1   0   0   0   0   1   0
      17549.0 | 1   0   0   0   0   0   0
      17549.1 | 1   0   0   0   0   0   1
      17630.0 | 0   0   0   0   0   0   1
      17712.0 | 1   0   0   0   0   0   1
      17712.8 | 1   0   0   0   0   0   0
      17794.0 | 0   0   0   0   0   0   0
      17876.0 | 1   0   0   0   0   0   0
      17877.1 | 1   0   0   0   1   0   0
      17958.0 | 0   0   0   0   1   0   0
      18040.0 | 1   0   0   0   1   0   0
      18041.4 | 1   0   0   0   1   1   0
      18122.0 | 0   0   0   0   1   1   0
      18204.0 | 1   0   0   0   1   1   0
      18204.8 | 1   0   0   0   0   1   0
      18205.1 | 1   0   0   0   0   1   1
      18286.0 | 0   0   0   0   0   1   1
      18368.0 | 1   0   0   0   0   1   1
      18369.0 | 1   0   0   0   0   0   1
      18369.1 | 1   0   0   0   1   0   1
      18450.0 | 0   0   0   0   1   0   1
      18532.0 | 1   0   0   0   1   0   1
      18532.8 | 1   0   0   0   0   0   0
      18533.4 | 1   0   0   0   0   1   0
      18614.0 | 0   0   0   0   0   1   0
      18696.0 | 1   0   0   0   0   1   0
      18697.0 | 1   0   0   0   0   0   0
      18697.1 | 1   0   0   0   0   0   1
      18778.0 | 0   0   0   0   0   0   1
      18860.0 | 1   0   0   0   0   0   1
      18860.8 | 1   0   0   0   0   0   0
      18942.0 | 0   0   0   0   0   0   0
      19024.0 | 1   0   0   0   0   0   0
      19025.1 | 1   0   0   0   1   0   0
      19106.0 | 0   0   0   0   1   0   0
      19188.0 | 1   0   0   0   1   0   0
      19189.4 | 1   0   0   0   1   1   0
      19270.0 | 0   0   0   0   1   1   0
      19352.0 | 1   0   0   0   1   1   0
      19352.8 | 1   0   0   0   0   1   0
