================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | a   a   a   a   a   a   a   d   d   d   d 
 in 1e-09 sec | d   d   d   d   d   d   d   a   a   a   a 
              | d   d   d   d   d   d   d   t   t   t   t 
              | r   r   r   r   r   r   r   a   a   a   a 
              | _   _   _   _   _   _   _   _   _   _   _ 
       9602.2 | 1   1   0   0   0   0   0   0   1   0   0
       9603.2 | 1   1   0   0   0   0   0   0   0   0   0
       9700.0 | 1   1   0   0   0   0   1   0   0   0   0
       9702.2 | 1   1   0   0   0   0   1   0   0   0   1
       9800.0 | 1   1   0   0   0   1   0   0   0   0   1
       9801.9 | 1   1   0   0   0   1   0   0   1   0   1
       9900.0 | 1   1   0   0   0   1   1   0   1   0   1
       9901.9 | 1   1   0   0   0   1   1   0   1   1   1
       9903.3 | 1   1   0   0   0   1   1   0   1   1   0
      10000.0 | 1   1   0   0   1   0   0   0   1   1   0
      10001.5 | 1   1   0   0   1   0   0   0   1   1   1
      10002.2 | 1   1   0   0   1   0   0   0   1   0   1
      10003.0 | 1   1   0   0   1   0   0   0   1   0   0
      10100.0 | 1   1   0   0   1   0   1   0   1   0   0
      10102.2 | 1   1   0   0   1   0   1   1   1   0   0
      10103.3 | 1   1   0   0   1   0   1   1   0   0   0
      10200.0 | 1   1   0   0   1   1   0   1   0   0   0
      10202.5 | 1   1   0   0   1   1   0   1   0   0   1
      10203.0 | 1   1   0   0   1   1   0   0   0   0   1
      10300.0 | 1   1   0   0   1   1   1   0   0   0   1
      10302.1 | 1   1   0   0   1   1   1   0   1   0   1
      10400.0 | 1   1   0   1   0   0   0   0   1   0   1
      10401.2 | 1   1   0   1   0   0   0   0   1   1   1
      10402.3 | 1   1   0   1   0   0   0   0   1   1   0
      10403.1 | 1   1   0   1   0   0   0   0   1   0   0
      10403.2 | 1   1   0   1   0   0   0   0   0   0   0
      10500.0 | 1   1   0   1   0   0   1   0   0   0   0
      10502.2 | 1   1   0   1   0   0   1   0   0   0   1
      10600.0 | 1   1   0   1   0   1   0   0   0   0   1
      10601.9 | 1   1   0   1   0   1   0   0   1   0   1
      10700.0 | 1   1   0   1   0   1   1   0   1   0   1
      10701.9 | 1   1   0   1   0   1   1   0   1   1   1
      10703.3 | 1   1   0   1   0   1   1   0   1   1   0
      10800.0 | 1   1   0   1   1   0   0   0   1   1   0
      10801.5 | 1   1   0   1   1   0   0   0   1   1   1
      10802.2 | 1   1   0   1   1   0   0   0   1   0   1
      10802.9 | 1   1   0   1   1   0   0   0   1   0   0
      10900.0 | 1   1   0   1   1   0   1   0   1   0   0
      10902.2 | 1   1   0   1   1   0   1   1   1   0   0
      10903.4 | 1   1   0   1   1   0   1   1   0   0   0
      11000.0 | 1   1   0   1   1   1   0   1   0   0   0
      11002.4 | 1   1   0   1   1   1   0   1   0   0   1
      11003.1 | 1   1   0   1   1   1   0   0   0   0   1
      11099.9 | 1   1   0   1   1   1   0   0   0   0   1
================================================================================
  network : Rom                                                   nodes : 1985  
================================================================================
