================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   s   r   r   r   r   r   r   r   r   r   r   r   s   r 
 in 1e-09 sec | l   e   t   a   a   a   a   a   a   a   a   a   a   a   c   e 
              | k   s   a   m   m   m   m   m   m   m   m   m   m   m   o   a 
              |     e   r   _   _   _   _   _   _   _   _   _   _   _   r   d 
              |     t   t   i   o   a   a   a   a   a   a   a   a   w   e   y 
              |             n   u   d   d   d   d   d   d   d   d   r         
              |                 t   d   d   d   d   d   d   d   d   i         
              |                     r   r   r   r   r   r   r   r   t         
              |                     _   _   _   _   _   _   _   _   e         
      21122.2 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      21280.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      21440.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      21600.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      21760.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      21920.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      22080.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      22082.1 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      22240.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      22400.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      22400.8 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   1   0
      22406.2 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0
      22560.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0
      22720.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0
      22720.7 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      22880.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      23040.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      23045.2 | 1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0
      23045.7 | 1   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      23200.0 | 0   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      23360.0 | 1   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      23363.1 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      23366.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      23520.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      23680.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      23682.2 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      23840.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      24000.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      24160.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      24320.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      24325.2 | 1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0
      24325.7 | 1   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      24325.8 | 1   0   1   1   1   0   0   0   0   1   0   0   1   0   0   0
      24480.0 | 0   0   1   1   1   0   0   0   0   1   0   0   1   0   0   0
      24640.0 | 1   0   1   1   1   0   0   0   0   1   0   0   1   0   0   0
      24643.1 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      24646.1 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      24800.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      24960.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      24962.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      25120.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      25280.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      25440.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      25600.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      25605.2 | 1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0
      25605.7 | 1   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      25760.0 | 0   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      25920.0 | 1   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      25923.1 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      25926.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      26080.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      26240.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      26242.2 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      26400.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      26560.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      26720.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      26880.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      26885.2 | 1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0
      26885.7 | 1   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
